,Unnamed: 0,Site No.,Rain Date,Elevation,NDVI,Historical Temperature,Historical Precipitation,Temperature,Precipitation,slope_r,frag3to10_r,sandtotal_r,silttotal_r,claytotal_r,Flood Event
3092,3092,850783,2019-09-23,786.8021390374332,2202.085561497326,29.930912864208217,0.2649406270147665,25.786230206489567,1.7501874901354313,0.21910359773549545,0.1110933507591403,0.5635418137751013,0.2586437044938468,0.1634370428211129,1
3122,3122,850784,2019-09-23,1005.8677248677247,2559.555555555556,28.096570359336013,0.3917340325938615,24.207475556267628,1.1507638866702716,0.3938590323277871,0.22057704086450214,0.8257952412819386,0.327889118928402,0.2141157836488204,1
3154,3154,850934,2019-09-23,524.6808510638298,1703.8297872340424,31.16773852242364,0.2000590277497799,26.75074100494385,0.7300416618689067,0.07750814791916392,0.032898364429914215,0.25123578612209124,0.16806631360268762,0.11127810923071234,1
3186,3186,850415,2019-09-23,519.7195767195767,1397.7671957671955,29.534651112556453,0.03816640641634876,25.184324502944946,0.006624999878113158,1.8336285566146076,0.05078017564798055,7.728189344160598,3.1290482045981736,1.6427624900008064,1
3216,3216,850418,2019-09-23,454.3915343915343,1303.8624338624338,29.617791949378123,0.00508541661935548,25.197284168667263,6.944444289224016e-05,1.2715293799813796,0.08097536586181782,6.173493253878014,2.630306517262341,1.1962002297610286,1
3246,3246,850438,2019-09-23,248.31351351351356,1238.1837837837836,31.20200530781465,0.17514264925882933,26.440149419447952,0.0,0.4519837374744826,0.1873515010258531,1.6819763346106669,1.3835181683908422,0.7435753125912353,1
3281,3281,857086,2019-09-23,1256.2931937172775,3194.7277486910994,25.888916369045482,0.8151227970182149,22.26725948558134,0.03976470637066728,0.5333593819011025,0.06889639295408732,0.8745369868175561,0.3682456516188478,0.27791131299910976,1
3315,3315,849961,2019-09-23,693.2578947368422,2378.826315789473,29.67104460211361,0.4423132375183153,26.038688884061926,26.82379401431364,0.34062878834622395,0.15798463821072806,0.7491108407335637,0.2860151428074539,0.15879142719842387,1
3349,3349,849955,2019-09-23,1239.8609625668448,3369.0320855614973,24.6253940820694,1.2662531139540991,21.563379287719727,18.36245304346085,0.7333954163434986,0.4811305065107424,1.5565943925992014,0.583877440543042,0.3829648513263892,1
3380,3380,850042,2019-09-23,813.1451612903226,2534.344086021505,28.46152809619904,0.97174687368155,25.158065509796142,36.25168752670288,0.5497540423101193,0.3156510145621529,1.001572315339034,0.3375345696246215,0.20871693562350194,1
3410,3410,850051,2019-09-23,457.4064171122995,2013.764705882353,31.343095624446867,0.1494132787509443,27.237818241119385,16.986953392624855,0.03678669682458282,0.011689575452176084,0.4736297408826012,0.31506369055701194,0.18486466894034445,1
3441,3441,849957,2019-09-23,711.7566137566138,2306.063492063492,29.81566042900085,0.7722015557479608,26.29403066635132,37.593453288078315,0.250342530022754,0.12340218988241206,0.6096664101986932,0.26477835834158586,0.15327538997349574,1
3470,3470,849923,2019-09-16,498.78306878306887,1412.111111111111,31.84009630084038,0.26915937387238953,29.31764888763428,0.0,0.21873916302722884,0.0947932923251789,1.3106244162566467,0.505029202010582,0.2858031120271144,1
3500,3500,849916,2019-09-16,348.4869109947644,1674.9214659685865,33.50712472691256,0.0841411767869859,30.381193048813767,0.04038235260283246,0.034920482069432233,0.01823533709022199,0.2822425585872159,0.17946752200573365,0.09731713880891693,1
3534,3534,857025,2019-09-16,716.1182795698925,2225.478494623656,30.165231037139893,0.8756883326960573,27.14096577962239,0.004549999682543179,0.05320700587201691,0.019129836700316646,0.389130792635116,0.16461530585366693,0.1252789501346744,1
3568,3568,857024,2019-09-16,439.03125,2372.848958333333,32.49536841897403,0.15360955843592392,29.84615213730756,1.033235284499824,0.03833087216424513,0.0073401626921065265,0.9886231662929488,0.5253315341920471,0.4131843952524002,1
3598,3598,856776,2019-09-08,1381.2241379310346,1869.1206896551723,27.06634429295858,1.4723239628106968,26.092682043711342,2.121916671593984,0.1306249384358679,0.08731024477301841,0.3795127767262911,0.25171388238686265,0.26142470035084625,1
3629,3629,849461,2019-09-07,1022.6894736842104,3026.568421052631,29.42642457326253,0.7189524910974433,30.012542597452804,0.0,0.9509245743203903,0.6877562562488043,2.336915843095502,0.7076682553883451,0.4236640451797056,1
3658,3658,857070,2019-09-07,1665.193717277487,4287.785340314136,25.510863989591602,0.6015984365226359,25.3849573135376,0.2707187463529408,0.4717313715045814,0.0995523544218084,0.5012252480813547,0.2507276242563059,0.2527462501732636,1
3689,3689,849196,2019-09-04,279.3157894736842,1337.3263157894735,34.133563620249426,0.003737500111262004,34.525872802734376,4.422383381985128,0.4550652002055959,0.1998925779615026,1.6772149789265465,1.3872703279393253,0.7527442164176559,1
3723,3723,848899,2019-09-01,258.390625,1044.6614583333333,34.253982134426344,0.0,35.246581358068134,0.0,0.1938852987562968,0.050346711020826586,1.013189441667673,0.2103981859688463,0.11532548327901578,1
3753,3753,848900,2019-09-01,524.1587301587301,1312.7989417989418,33.10913624763489,0.0007953125197673218,34.11099123954773,0.0,2.9203688775481544,0.13236993479384895,9.907938986968269,4.5568671653144746,2.2018606544627777,1
3784,3784,857038,2019-09-01,1563.2408376963351,3518.4450261780103,25.941319510516,0.32450073684620506,27.108675900627585,0.0,0.2701957043540549,0.232995996601288,1.039655636663193,0.5470144654040962,0.4887501552247324,1
3816,3816,855915,2019-09-01,640.6137566137567,2107.6349206349205,31.718794536590572,0.30164852737995235,32.428772421444165,5.882353220573242e-05,0.046496205709303726,0.025704876666240682,0.5084886891342946,0.25684064946839663,0.17369296547526406,1
3847,3847,848896,2019-09-01,325.3121693121693,1844.772486772487,34.306184554100035,0.1896546859206865,35.3704445362091,0.0,0.0464658336818745,0.025164394036017692,0.3585912660321158,0.16764699684671922,0.10225712898104514,1
3882,3882,848890,2019-09-01,390.4438502673797,1461.668449197861,33.407357490062715,0.0786382811376825,34.463886976242065,0.0,0.21654398624190094,0.11172182159637872,1.4490365425396732,0.5029540899740487,0.28559221140302743,1
3913,3913,848869,2019-09-01,488.2380952380952,1469.3968253968253,32.68502830505371,0.09671916626393796,33.881351470947266,0.0,0.2936186892901706,0.1470802917139152,1.5973065439316485,0.6137246107704944,0.33942076891790895,1
3947,3947,848744,2019-08-29,1452.2944162436547,1332.0913705583755,27.990260797076754,0.4598756934470051,29.17535071902805,0.4231249974367933,0.1466902097940976,0.07709347900684199,0.7281643719661505,0.35480607512469553,0.2512689902539785,1
3978,3978,845558,2019-08-28,484.4866310160428,1866.844919786096,34.30720184727719,0.00739934222127838,37.079988178453945,0.0,0.036909386883180864,0.019627721424845264,0.30854275738574644,0.1876062440269184,0.12354801104329233,1
4011,4011,845560,2019-08-28,513.0855614973262,1919.0748663101606,34.01222711205482,0.0048046876573607745,36.76254558563232,0.0,0.04904902043863455,0.02183948372474846,0.3299855633912571,0.1975599720107352,0.12755646641000887,1
4042,4042,848740,2019-08-28,1703.7,2156.4578947368427,24.296364557743072,0.024603125091289257,26.564189910888672,2.6575312241911893,0.1913071220766002,0.11562563519694123,0.9264124420066999,0.7241718464175587,0.4341182171725778,1
4073,4073,851547,2019-08-23,1300.0736842105264,2353.510526315789,27.05170556902885,1.1520289086837692,27.714549422264103,0.3014218722237274,0.23430007646342885,0.08409022987554257,0.7608076155732508,0.33647244390614894,0.22509185376596416,1
4109,4109,854626,2019-08-22,624.3387978142076,1748.3387978142075,32.310074879141425,0.3471507391662967,34.08856111414293,0.0,0.0779029556838675,0.008617723401427085,0.3520045207092452,0.22128560002297545,0.14996925703816005,1
4143,4143,851543,2019-08-22,837.6486486486486,2239.6594594594594,30.402014070398675,1.3977926525995243,32.58952410080854,0.0005000000271727056,0.06592555625272055,0.0,0.03785162867282902,0.016237645364536736,0.010661683081204007,1
4171,4171,851531,2019-08-22,1466.4162162162165,3264.7783783783784,24.86076785326004,1.871411726829865,27.037196159362797,4.4665000289678565,0.5732580828486341,0.4467364787600205,1.2994873347218578,0.7513073906134353,0.4487099284315011,1
4205,4205,851544,2019-08-22,1417.6702702702703,2690.281081081081,26.52542140063117,1.0099683784427778,28.427095076617068,7.352941012119546e-05,0.12783342133979522,0.10405768569676496,0.5843609120897563,0.2771272167950524,0.16568313582326852,1
4230,4230,851516,2019-08-10,1167.3695652173913,2221.728260869565,30.136334032170915,1.0836286781746929,27.943593417896942,2.2617058929275062,0.12953646043141245,0.2190876235610198,0.4004194225570407,0.2510396514078027,0.18689729022031484,1
4263,4263,851515,2019-08-10,1039.4486486486487,2842.010810810811,29.34950792914943,1.7133651299375312,27.373572600515267,0.002381578872078344,0.2670471662812917,0.09832126781140507,0.6571271955245174,0.2741294715529401,0.21311383781667365,1
4292,4292,851514,2019-08-09,1654.0,2703.0397727272725,25.170105361938475,2.781840627190832,25.16449797153473,1.5555468909442425,0.3414378547575397,0.32256894576847495,1.003140689564157,0.5746912554812598,0.6001442332005071,1
4322,4322,843437,2019-08-08,1803.821052631579,4489.989473684211,24.261278875250568,1.624261184448704,22.786319230732165,0.8199210496325242,0.286882447766844,0.07818012372594102,0.4813333579325388,0.34840713533623074,0.2579945991959617,1
4361,4361,839990,2019-08-07,1053.8549222797928,2173.3419689119173,30.52236234765304,0.11488223778862065,30.412467655382663,0.0,0.4099093706130557,0.1739289308897769,1.0823367536049395,0.4306447074384978,0.2766032774426043,1
4390,4390,839216,2019-08-07,442.3264248704663,1345.1450777202072,33.77729653751149,0.10913382328854984,33.762938892140106,0.0,1.7451238960093365,0.3751348071381565,5.685113142315253,2.8394432277594412,1.4754436440636725,1
4421,4421,839218,2019-08-07,251.87234042553192,1262.090425531915,34.73532772625194,0.0952860279689262,34.98967271692612,0.0,0.20066292075520945,0.07263523277172823,0.7480789346587633,0.4264117345668078,0.2444824336227485,1
4452,4452,839217,2019-08-07,449.76063829787233,1359.6063829787233,33.595020855797664,0.11530138830162792,33.50525336795383,0.0,1.7621321944462038,0.37061611798075866,5.646586701332409,2.8628031581647257,1.4906101569248014,1
4481,4481,843417,2019-08-05,1245.9052631578948,3205.721052631579,29.10815970301628,1.4938617216852434,29.66333830356598,0.02209374913581996,0.4783196529055631,0.32295316892947595,1.2750888403820608,0.4782494299733612,0.3751759534349364,1
